sheet	oldcolname	newcolname
fallen	Month	month
fallen	Day	day
fallen	Sub_plot_code	subplot_code
fallen	Transect_section_letter	transect_section_letter
fallen	Code_of_the_piece	code_of_piece
fallen	Cross_section_width	diameter_width_prior
fallen	New_Cross_section_width	diameter_width.mm
fallen	Penetration_<_200_mm	penetration<200mm
fallen	Penetration_=_200_mm	penetration=200mm
fallen	Branchfall	branchfall
fallen	Tag	tag
fallen	Notes	notes
fallen	Irregular_diameter	diameter_height.mm
fallen	RT	RT
fallen	RR	RR
fallen	TT	TT
fallen	TC	TC
fallen	TS	TS
fallen	TV	TV
fallen	MC	MC
fallen	MS	MS
fallen	year	year
fallen	Note_taker	observer
fallen	uniqid	uniqid
standing	Month	month
standing	Day	day
standing	Sub_plot_code	subplot_code
standing	Transect_section_letter	transect_section_letter
standing	Code_of_the_piece	code_of_piece
standing	Diameter	diameter_prior
standing	New_diameter	diameter_one.mm
standing	Height	height
standing	POM	POM
standing	Penetration_<_200_mm	penetration<200mm
standing	Penetration=_200m	penetration=200mm
standing	Branches	branches
standing	Tag	tag
standing	Notes	notes
standing	Year	year
standing	Note_taker	observer
standing	Irregular_diameter	irregular_diameter_one.mm
standing	...18	notes2
standing	uniqid	uniqid
lessstanding	Month	month
lessstanding	Day	day
lessstanding	Sub_plot_code	subplot_code
lessstanding	Transect_section_letter	transect_section_letter
lessstanding	Code_of_the_piece	code_of_piece
lessstanding	Diameter	diameter_prior
lessstanding	New_diameter	diameter_one.mm
lessstanding	Height	height
lessstanding	POM	POM
lessstanding	Branches	branches
lessstanding	Tag	tag
lessstanding	Notes	notes
lessstanding	Year	year
lessstanding	Note_taker	observer
lessstanding	uniqid	uniqid
